doc110	0	12	Syria destroyed equipment for making chemical weapons	s0-en
doc110	1	8	Syria destroyed all the declared facilities for production of chemical weapons, as recognized by the Organization for the Prohibition of Chemical Weapons.	s0-en
doc110	2	10	Damascus finished the first stage of the disarmament the day before the deadline.	s0-en
doc110	3	6	By 1 November Syria was to destroy the manufacturing and other auxiliary objects intended for combat training in the use of toxic substances, reports the BBC.	s0-en
doc110	4	10	The destruction of the stockpile of toxic substances or their chemical components should be completed by the middle of 2014.	s0-en
doc110	5	6	According to the representative of the OPCW, currently toxic substances are in Opechatannykh repositories.	s0-en
doc110	6	8	International inspectors went to Syria after, according to the United States, more than 1,400 people were killed by on 21 August by chemical attacks on the outskirts of Damascus.	s0-en
doc110	7	10	The main task of the inspectors was to not give Syrian authorities time to produce more chemical weapons and to destroy infrastructure equipment for mixing chemicals and munitions.	s0-en
doc110	8	8	Inspectors will now be carefully watching these manufacturing facilities to prevent their repair.	s0-en
doc110	9	10	The next milestone is the middle of November: by this time the OPCW and Syria must agree to a detailed plan of destruction of existing stocks of toxic substances.	s0-en
doc110	10	6	A lot of questions here.	s0-en
doc110	11	4	Where will they be removed?	s0-en
doc110	12	10	Who will provide the equipment for this?	s0-en
doc110	13	6	All Syrian statements will be carefully checked by western razvedsluzhbami.	s0-en
doc110	14	6	The inspectors are ready to test new substances to see if there are grounds to suspect that Damascus is not being fully candid.	s0-en
doc110	15	6	The United States believed that the shelling was being done by regular troops.	s0-en
doc110	16	10	Syria and Russia insist that this was the work of the Syrian rebels.	s0-en
doc110	17	4	The world community has demanded from the Syrian leadership that it is in accordance with the agreement reached and mediated by Russia which is to destroy or make inoperable all capacity for the production of shells, toxic gases and liquids and shells for filling in these substances.	s0-en
doc110	18	6	Now, when this phase is complete, the next step must be to destroy the existing the Syrian army chemical weapons.	s0-en
doc110	19	6	It is assumed that this arsenal could be more than 1,000 tons of toxic substances including kozhno-naryvnogo, nerve gas, mustard gas and other banned chemicals stored in several dozen different places.	s0-en
doc110	20	4	The agreed upon time table between the OPCW and the Syrian authorities for its destruction is two weeks.	s0-en
doc110	21	10	The head of the OPCW field operations, Jerry Smith, told the BBC that his inspectors "personally watched the destruction of the equipment	s0-en
doc110	22	10	"And they now have no capability to conduct further production or mixing of chemical weapons", he said.	s0-en
doc110	23	8	In the statement, the OPCW said its inspectors visited 21 of the 23 sites in Syria and were convinced the factories that manufacture shells and toxic substances, were either destroyed or are being destroyed.	s0-en
doc110	24	8	The remaining two objects were too dangerous to carry out an inspection, the document says, but the equipment was carried out and inspected by specialists of the OPCW.	s0-en
doc110	25	12	According to Smith, the process of destroying the production infrastructure was especially difficult due to the ongoing conflict.	s0-en
doc110	26	8	In early October, the OPCW was awarded the Nobel peace prize, however; according to Smith, the inspectors have not had time to celebrate yet - they were too busy with work.	s0-en
doc130	0	4	John kerry says in his unprecedented recognition that USA espionage "went far nepodobayushche"	s0-en
doc130	1	6	John kerry demonstrated easing tactics to protect U.S. tracking programs, making an unprecedented acknowledgment that in some cases, us spying "went far nepodobayushche."	s0-en
doc130	2	6	The secretary also acknowledged that the guilty, along with Barack Obama, has been "on autopilot" during the appearance of the high-profile revelations by Edward Snowden about the espionage activities of the NSA.	s0-en
doc130	3	10	These leaks have put the US government at the center of a diplomatic scandal with its allies.	s0-en
doc130	4	8	Speaking via video link on open government conference in london, mr kerry said: "there is no doubt that the president and I, as well as other members of the government actually took some things happening on autopilot, because that possibility already existed — and during the second world war, and in the very difficult years of the cold war, and, of course, september 11."	s0-en
doc130	5	10	Then he became the first senior member of the government of the United States to recognize that the US espionage has gone too far, but stressed that individual rights were not violated.	s0-en
doc130	6	4	He said: "in some cases this has come far nepodobayushche.	s0-en
doc130	7	8	And the president is determined to shed light on this question and explain to people, and now conducts a thorough analysis to ensure that no one has the feeling of abuse.	s0-en
doc130	8	10	I assure you, the abuse of innocent people is not present in this process. "	s0-en
doc130	9	10	Mr Kerry insisted, however, that the NSA acted out of good intentions and that its tracking operation saved many lives.	s0-en
doc130	10	10	He added: "we are in a new world where people are ready to blow themselves up.	s0-en
doc130	11	4	In the world there are radical extremism, bezrassudnyy and determined to kill people, blowing up people and attacking the government.	s0-en
doc130	12	10	And if you were able to intercept it, stop it before it happens?	s0-en
doc130	13	8	We actually prevent crashing planes, explosions of buildings and killing people because we were able to learn more about these plans in advance. "	s0-en
doc130	14	8	Meanwhile, U.S. lawmakers napravyatsya in Europe to help resolve issues associated with the alleged U.S. espionage abroad and to convince Europeans of the need to continue joint anti-terrorism measures with the United States, said the chairman of the senate subcommittee on European affairs on Thursday.	s0-en
doc130	15	4	The senator from Connecticut, Chris Murphy said he talked with members of the European parliament, and the other parties on this week and is concerned about their threats to suspend participation in the anti-terrorist organizations because of disappointment in connection with the persecution of the national security agency.	s0-en
doc130	16	4	"For us national security interests are really important to europeans remained our supporters in respect of our joint counter-terrorism efforts," said democrat Murphy, working in the position of first term and is the chairman of the international relations of the senate subcommittee on european affairs, in an interview from Washington.	s0-en
doc130	17	8	"And i am going to europe, to get them to understand that we must continue to cooperate in the fight against terrorism, despite their anger over these nsa programs."	s0-en
doc130	18	4	News that the NSA collected millions of records of telephone calls in europe worsen relations with some allies of the us, although the head of the agency said this week that they were inaccurate and reflected a misunderstanding that collected metadata on NATO allies and which they shared with the united states.	s0-en
doc130	19	4	In other quoted Snowden razoblacheniyakh released documents showing that the NSA continued monitoring the mobile phone of german chancellor Angela Merkel, as well as phones of approximately 34 other world leaders.	s0-en
doc130	20	8	Director of national intelligence James Klapper defended espionage activities in respect of allies as necessary and said that it is commonplace on both sides.	s0-en
