		----			
		----			
		----			
es-en.2	0	----	La oferta de Tsipras y Varoufakis, si es aceptada por el Eurogrupo, daría un espaldarazo a la maltrecha economía, a las finanzas y a los mercados en Grecia.		
es-en.2	0	----	Tsipras and Varoufakis, offer if it is accepted by the Eurogroup, would give a boost to the ailing economy, finances and markets in Greece.	8	mt
		----			
es-en.2	0		Tsipras and Varoufakis' offer, if it is accepted by the Eurogroup, would give a boost to the ailing economy, finances and markets in Greece.	12	s3
es-en.2	0		Tsipras and Varoufakis' offer, if it is accepted by the Eurogroup, would give a boost to the ailing economy, finances and markets in Greece.	12	s1
es-en.2	0		Tsipras and Varoufakis' offer, if it is accepted by the Eurogroup, would give a boost to the ailing economy, finances and markets in Greece.	12	s4
es-en.2	0		The offer from Tsipras and Varoufakis, if accepted by the Eurogroup, would give a boost to the ailing economy, finances and markets in Greece.	12	s2
		----			
		----			
		----			
es-en.2	1	----	La primera reacción del mercado no se ha hecho esperar: caída de la prima de riesgo y subida inmediata del euro.		
es-en.2	1	----	The first reaction of the market did not expect: drop the premium risk and immediate ascent of the euro.	6	mt
		----			
es-en.2	1		The first reaction of the market happened quickly: the risk premium dropped and an immediate climb of the euro was seen.	12	s1
es-en.2	1		The first reaction of the market was unexpected: the drop of the premium risk and immediate ascent of the euro.	6	s2
es-en.2	1		The first reaction of the market was not expected: a drop in the premium risk and the immediate ascent of the euro.	6	s3
es-en.2	1		The first reaction of the market was not expected; there was a drop in the risk premium and an immediate ascent in the euro.	6	s4
		----			
		----			
		----			
es-en.2	2	----	Aunque los mercados descuentan el acuerdo desde hace días, a pesar del cruce de declaraciones cada vez más subidas de tono por ambos bandos.		
es-en.2	2	----	Although the markets discounted the agreement for days, despite crossing the statements more and more racy by both sides.	4	mt
		----			
es-en.2	2		The markets discounted the agreement for days, despite the statements by both sides that became more and more harsh.	10	s4
es-en.2	2		Although the markets discounted the agreement for days, despite the cross statements being more and more racy by both sides.	6	s3
es-en.2	2		Although the markets discounted the agreement days ago, despite the crossing of statements more and more the tone rises on both sides.	4	s1
es-en.2	2		Although the markets discounted the agreement for days, the statements became more and more racy by both sides.	8	s2
		----			
		----			
		----			
es-en.2	3	----	El Gobierno de Alexis Tsipras ha optado por un acuerdo “puente de deuda” para capear los próximos seis meses		
es-en.2	3	----	The Government of Alexis Tsipras has opted for a "debt bridge" agreement to weather the coming six months	12	mt
		----			
es-en.2	3		The Government of Alexis Tsipras has opted for a "debt bridge" agreement to weather the coming six months	12	s2
es-en.2	3		The Government of Alexis Tsipras has opted for a "debt bridge" agreement to weather the coming six months	12	s1
es-en.2	3		The Government of Alexis Tsipras has opted for a "debt bridge" agreement to weather the upcoming six months	12	s3
es-en.2	3		The Government of Alexis Tsipras has opted for a "debt bridge" agreement to weather the next six months	12	s4
		----			
		----			
		----			
es-en.2	4	----	—hasta negociar un nuevo rescate— cumpliendo el grueso de los compromisos adquiridos,		
es-en.2	4	----	-to negotiate a new rescue - serving the bulk of commitments,	4	mt
		----			
es-en.2	4		-until a new bailout is negotiated - serving the bulk of necessary commitments,	6	s1
es-en.2	4		-to negotiate a new bailout - serving the bulk of the acquired commitments,	6	s3
