		----			
		----			
		----			
es-en.1	0	----	En su propuesta, Grecia hace notables concesiones, según las fuentes consultadas en el Eurogrupo.		
es-en.1	0	----	In its proposal, Greece made notable concessions, according to the sources consulted in the Eurogroup.	10	mt
		----			
es-en.1	0		In its proposal, Greece made notable concessions, according to the consulted sources in the Eurogroup.	8	s1
es-en.1	0		In its proposal, Greece made notable concessions, according to the sources consulted in the Eurogroup.	10	s4
es-en.1	0		In its proposal, Greece made notable concessions, according to the sources consulted in the Eurogroup.	10	s2
es-en.1	0		In its proposal, Greece made notable concessions, according to the sources consulted in the Eurogroup.	10	s3
		----			
		----			
		----			
es-en.1	1	----	Promete cumplir escrupulosamente con los pagos a los acreedores, y sobre todo reconoce		
es-en.1	1	----	It promises to comply scrupulously with payments to creditors, and above all recognizes	10	mt
		----			
es-en.1	1		It promises to comply scrupulously with payments to creditors, and above all recognizes	10	s2
es-en.1	1		It promises to comply scrupulously with payments to creditors, and above all recognizes	10	s4
es-en.1	1		It promises to comply scrupulously with payments to creditors, and above all recognizes	10	s3
es-en.1	1		It promises to comply scrupulously with payments to creditors, and above all recognizes	10	s1
		----			
		----			
		----			
es-en.1	2	----	que el actual programa es la base sobre la que hay que buscar un acuerdo de compromiso para la prórroga de la asistencia financiera.		
es-en.1	2	----	that the current programme is the basis on which can be found a compromise agreement for the extension of financial assistance.	6	mt
		----			
es-en.1	2		that the current programme is the basis on which a compromise can be found for the extension of financial assistance.	6	s2
es-en.1	2		that the current programme is the basis on which a compromise agreement can be found for the extension of financial assistance.	8	s1
es-en.1	2		that the current programme is the basis for finding a compromise agreement for the extension of financial assistance.	8	s4
es-en.1	2		that the current programme is the basis on which a compromise agreement for the extension of financial assistance can be found .	8	s3
		----			
		----			
		----			
es-en.1	3	----	Además, acepta que esa extensión sea revisada por la Comisión Europea, el BCE y el FMI		
es-en.1	3	----	You further agree that this extension be reviewed by the European Commission, the ECB and the IMF	6	mt
		----			
es-en.1	3		It also accepts that this extension shall be reviewed by the European Commission, the ECB and the IMF	8	s2
es-en.1	3		It further agrees that this extension be reviewed by the European Commission, the ECB and the IMF	10	s1
es-en.1	3		Furthermore, it agrees that this extension may be reviewed by the European Commission, the ECB and the IMF	8	s4
es-en.1	3		You further agree that this extension be reviewed by the European Commission, the ECB and the IMF	6	s3
		----			
		----			
		----			
es-en.1	4	----	-las tres instituciones anteriormente conocidas como troika—, aunque presumiblemente a partir de ahora ese trío operará por separado.		
es-en.1	4	----	-three institutions formerly known as troika, although presumably now that trio will operate separately.	8	mt
		----			
es-en.1	4		- the three institutions formerly known as troika, although presumably now that trio will operate separately.	8	s1
es-en.1	4		-three institutions formerly known as troika, although presumably now that trio will operate separately.	8	s3
es-en.1	4		-three institutions formerly known as troika-although presumably now that trio will operate separately.	8	s2
es-en.1	4		- three institutions formerly known as troika - although presumably now that trio will operate separately.	8	s4
		----			
		----			
		----			
es-en.1	5	----	El presidente de la Comisión, Jean-Claude Juncker, ve en la petición del Gobierno griego "señales positivas"		
es-en.1	5	----	The President of the Commission, Jean-Claude Juncker, at the request of the Greek Government sees "positive signs"	6	mt
		----			
