		----		
		----		
		----		
es-en.1	0	----	En su propuesta, Grecia hace notables concesiones, según las fuentes consultadas en el Eurogrupo.	
es-en.1	0	----	In its proposal, Greece made notable concessions, according to the sources consulted in the Eurogroup.	
		----		
es-en.1	0		In its proposal, Greece made notable concessions, according to the sources consulted in the Eurogroup.	s7
es-en.1	0		In its proposal, Greece made notable concessions, according to the sources consulted in the Eurogroup.	s8
es-en.1	0		In its proposal, Greece made notable concessions, according to the sources consulted in the Eurogroup.	s9
es-en.1	0		In its proposal, Greece made notable concessions, according to the sources consulted in the Eurogroup.	s3
es-en.1	0		In its proposal, Greece made notable concessions, according to the sources consulted in the Eurogroup.	s2
es-en.1	0		In its proposal, Greece made notable concessions, according to the sources consulted in the Eurogroup.	s5
es-en.1	0		In its proposal, Greece made notable concessions, according to the sources consulted in the Eurogroup.	s4
es-en.1	0		In its proposal, Greece made notable concessions, according to the sources consulted in Eurogroup.	s12
es-en.1	0		In its proposal, Greece made notable concessions, according to the sources consulted in the European Union.	s16
es-en.1	0		In its proposal, Greece made notable concessions, according to the sources consulted in Eurogroup.	s6
es-en.1	0		In its proposal, Greece made notable concessions, according to the consulted sources in the Eurogroup.	s1
		----		
		----		
		----		
es-en.1	1	----	Promete cumplir escrupulosamente con los pagos a los acreedores, y sobre todo reconoce	
es-en.1	1	----	It promises to comply scrupulously with payments to creditors, and above all recognizes	
		----		
es-en.1	1		Greece promises to comply scrupulously with payments to creditors, and above all recognizes	s12
es-en.1	1		It promises to comply scrupulously with payments to creditors, and above all recognizes	s1
es-en.1	1		It promises to comply scrupulously with payments to creditors, and above all recognizes	s8
es-en.1	1		The country promises to make exact payments to creditors, and recognizes above all	s16
es-en.1	1		It promises to comply scrupulously with payments to creditors, and above all recognizes	s6
es-en.1	1		It promises to comply scrupulously with payments to creditors, and above all recognizes	s3
es-en.1	1		It promises to comply scrupulously with payments to creditors, and above all recognizes	s9
es-en.1	1		It promises to comply scrupulously with payments to creditors, and above all recognizes	s5
es-en.1	1		It promises to comply scrupulously with payments to creditors, and above all recognizes	s2
es-en.1	1		It promises to scrupulously comply with payments to creditors, and above all recognizes	s7
es-en.1	1		It promises to comply scrupulously with payments to creditors, and above all recognizes	s4
		----		
		----		
		----		
es-en.1	2	----	que el actual programa es la base sobre la que hay que buscar un acuerdo de compromiso para la prórroga de la asistencia financiera.	
es-en.1	2	----	that the current programme is the basis on which can be found a compromise agreement for the extension of financial assistance.	
		----		
es-en.1	2		that the current programme is the basis for finding a compromise on the extension of financial assistance.	s12
es-en.1	2		that the current programme is the basis on which a compromise agreement for the extension of financial assistance can be found .	s3
es-en.1	2		that the current programme is the basis on which a compromise can be found for the extension of financial assistance.	s2
es-en.1	2		that the current programme is the basis for finding a compromise agreement for the extension of financial assistance.	s4
es-en.1	2		that the current program is the basis on which a compromise agreement on the extension of financial assistance could happen.	s6
es-en.1	2		that the current program is the basis on which a compromise agreement can be found for the extension of financial assistance.	s16
es-en.1	2		that the current programme is the basis on which  a compromise agreement for the extension of financial assistance must be found.	s7
es-en.1	2		that the current programme is the basis on which a compromise agreement for the extension of financial assistance can be found.	s8
